ID,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP
790,FDE02,8.71,low fat,0.121149472,Canned,93.7778
791,NCZ06,19.6,Low Fat,0.094083303,Household,252.2698
792,FDW49,19.5,Low Fat,0.0,Canned,179.3002
793,FDR23,15.85,Low Fat,0.0,Breads,174.737
794,NCJ29,12.857645184135976,Low Fat,0.035022503,Health and Hygiene,85.1224
795,FDY35,17.6,Regular,0.016060186,Breads,47.2402
796,FDZ01,12.857645184135976,Regular,0.009014978,Canned,102.699
797,FDX19,19.1,Low Fat,0.096733815,Fruits and Vegetables,233.1958
798,FDG44,6.13,Low Fat,0.102607233,Fruits and Vegetables,54.0298
799,FDQ23,6.55,Low Fat,0.024521191,Breads,100.6332
800,FDY22,16.5,Regular,0.160624116,Snack Foods,143.8128
801,NCN41,17.0,Low Fat,0.052165855,Health and Hygiene,125.073
802,FDA47,10.5,Regular,0.0,Baking Goods,162.421
803,NCD19,8.93,Low Fat,0.0,Household,55.4614
804,FDO36,12.857645184135976,Low Fat,0.07753654,Baking Goods,180.866
805,FDH20,16.1,Regular,0.024928351,Fruits and Vegetables,95.141
806,FDN12,12.857645184135976,LF,0.08071118,Baking Goods,113.1544
807,NCJ30,5.82,Low Fat,0.080968973,Household,171.379
808,FDB09,16.25,Low Fat,0.057485328,Fruits and Vegetables,126.2046
809,FDA09,13.35,Regular,0.149669322,Snack Foods,180.266
810,FDL24,12.857645184135976,Regular,0.024776026,Baking Goods,172.3422
811,FDP03,5.15,Regular,0.061165512,Meat,125.6388
812,FDR58,12.857645184135976,Low Fat,0.041718456,Snack Foods,94.5462
813,FDO13,7.865,Low Fat,0.06100886,Breakfast,166.0526
814,DRD49,9.895,Low Fat,0.167799329,Soft Drinks,239.4564
815,NCF42,17.35,Low Fat,0.167351411,Household,176.0712
816,DRK35,8.365,Low Fat,0.071832909,Hard Drinks,36.1506
817,FDR58,6.675,Low Fat,0.041886576,Snack Foods,92.1462
818,FDQ15,12.857645184135976,Regular,0.150341867,Meat,83.1276
819,NCP50,17.35,Low Fat,0.020542737,Others,80.5618
820,FDV45,16.75,Low Fat,0.045047439,Snack Foods,186.4556
821,DRP35,18.85,Low Fat,0.091008572,Hard Drinks,129.6336
822,FDN23,6.575,Regular,0.07549348,Breads,143.5444
823,FDS44,12.65,Regular,0.156286566,Fruits and Vegetables,238.9538
824,NCI54,15.2,Low Fat,0.033735909,Household,110.9912
825,FDH40,12.857645184135976,Regular,0.078547351,Frozen Foods,79.3276
826,FDF46,7.07,Low Fat,0.093653464,Snack Foods,113.3834
827,FDA21,13.65,Low Fat,0.036107198,Snack Foods,184.4924
828,FDI41,12.857645184135976,Regular,0.109003832,Frozen Foods,145.2418
829,FDE35,7.06,Regular,0.073480266,Starchy Foods,58.8904
830,DRJ24,11.8,Low Fat,0.113234914,Soft Drinks,186.3924
831,NCK17,12.857645184135976,Low Fat,0.037711338,Health and Hygiene,41.548
832,FDA15,9.3,Low Fat,0.016054884,Dairy,250.2092
833,FDD36,12.857645184135976,Low Fat,0.021170542,Baking Goods,117.6124
834,DRD60,12.857645184135976,Low Fat,0.065188619,Soft Drinks,181.1634
835,FDA46,13.6,Low Fat,0.117537563,Snack Foods,195.4136
836,NCO54,19.5,Low Fat,0.01430324,Household,57.2614
837,FDL48,19.35,Regular,0.137697119,Baking Goods,47.1034
838,NCM19,12.857645184135976,Low Fat,0.047008497,Others,112.0202
839,FDS31,13.1,reg,0.0,Fruits and Vegetables,178.9318
840,FDV12,16.7,Regular,0.060863167,Baking Goods,97.6384
841,FDQ31,5.785,Regular,0.0,Fruits and Vegetables,87.1856
842,FDK55,12.857645184135976,Low Fat,0.045105407,Meat,89.4172
843,DRG15,6.13,Low Fat,0.076855207,Dairy,59.3536
844,NCR17,9.8,Low Fat,0.024482644,Health and Hygiene,116.2492
845,FDV01,12.857645184135976,Regular,0.0,Canned,154.6314
846,FDT21,7.42,Low Fat,0.020474913,Snack Foods,248.4092
847,FDT10,16.7,Regular,0.062044506,Snack Foods,57.4562
848,FDL56,12.857645184135976,Low Fat,0.220225608,Fruits and Vegetables,85.6198
849,FDS49,9.0,Low Fat,0.079794329,Canned,80.1644
850,FDT32,12.857645184135976,Regular,0.114916546,Fruits and Vegetables,188.4214
851,NCX42,6.36,Low Fat,0.00597362,Household,164.5526
852,FDX26,17.7,LF,0.146973462,Dairy,184.1292
853,FDN02,16.5,Low Fat,0.07376631,Canned,208.5638
854,FDJ40,12.857645184135976,Regular,0.049349121,Frozen Foods,108.6912
855,FDU13,12.857645184135976,low fat,0.328390948,Canned,146.0418
856,DRE27,11.85,Low Fat,0.13267058,Dairy,96.4726
857,FDS27,10.195,Regular,0.012455787,Meat,197.511
858,FDU44,12.857645184135976,Regular,0.058142797,Fruits and Vegetables,162.1552
859,DRM59,12.857645184135976,Low Fat,0.006289291,Hard Drinks,153.2998
860,FDT08,13.65,Low Fat,0.04929502,Fruits and Vegetables,150.505
861,FDL46,20.35,low fat,0.054362695,Snack Foods,117.9466
862,NCV30,20.2,Low Fat,0.110356797,Household,62.051
863,FDP51,13.85,Regular,0.085274988,Meat,119.6124
864,FDA51,8.05,Regular,0.164542555,Dairy,112.2518
865,FDM46,7.365,Low Fat,0.160292264,Snack Foods,94.712
866,FDK02,12.5,Low Fat,0.112859454,Canned,118.344
867,FDJ57,7.42,Regular,0.021569566,Seafood,184.8582
868,FDJ45,12.857645184135976,Low Fat,0.073055148,Seafood,33.7216
869,NCB31,6.235,Low Fat,0.119345629,Household,261.991
870,FDJ03,12.35,Regular,0.072334667,Dairy,49.1692
871,FDT50,6.75,Regular,0.108148913,Dairy,95.6752
872,NCY41,16.75,Low Fat,0.07585337,Health and Hygiene,36.8532
873,FDJ60,19.35,Regular,0.062655235,Baking Goods,163.3184
874,FDZ35,9.6,Regular,0.022278477,Breads,102.499
875,FDS21,19.85,Regular,0.020961192,Snack Foods,62.0194
876,FDM52,15.1,Low Fat,0.025993423,Frozen Foods,147.4076
877,FDQ08,12.857645184135976,Regular,0.018838681,Fruits and Vegetables,62.9536
878,FDQ56,6.59,Low Fat,0.105577348,Fruits and Vegetables,85.6908
879,FDS47,16.75,Low Fat,0.129086113,Breads,89.4856
880,DRM48,15.2,Low Fat,0.113125627,Soft Drinks,38.6848
881,FDW46,13.0,Regular,0.070699313,Snack Foods,65.7484
882,FDW27,5.86,Regular,0.151467821,Meat,154.1314
883,NCQ05,11.395,Low Fat,0.03616416,Health and Hygiene,150.1708
884,FDU40,20.85,Low Fat,0.062606583,Frozen Foods,192.2478
885,DRE12,12.857645184135976,Low Fat,0.0704378,Soft Drinks,112.886
886,FDX35,5.035,Regular,0.079844043,Breads,226.3036
887,FDD51,11.15,Low Fat,0.120139206,Dairy,45.0744
888,FDY27,6.38,Low Fat,0.032028115,Dairy,178.3344
889,NCN06,8.39,Low Fat,0.120497266,Household,162.2868
890,FDR57,5.675,Regular,0.023492524,Snack Foods,155.5288
891,FDL32,15.7,Regular,0.122657336,Fruits and Vegetables,110.1544
892,FDW46,13.0,reg,0.070588037,Snack Foods,65.9484
893,NCO17,12.857645184135976,Low Fat,0.073024401,Health and Hygiene,121.844
894,FDR19,13.5,Regular,0.159587755,Fruits and Vegetables,145.3102
895,FDJ33,8.895,Regular,0.088821765,Snack Foods,125.173
896,FDB15,10.895,Low Fat,0.136810742,Dairy,263.0568
897,FDA52,16.2,Regular,0.128682722,Frozen Foods,178.437
898,FDZ08,12.857645184135976,Regular,0.109459733,Fruits and Vegetables,84.1592
899,FDR27,15.1,Regular,0.096644015,Meat,131.9942
900,NCK42,7.475,Low Fat,0.013120028,Household,217.6192
901,FDZ12,12.857645184135976,Low Fat,0.0,Baking Goods,144.847
902,FDM60,10.8,Regular,0.048339408,Baking Goods,41.5138
903,NCI31,20.0,Low Fat,0.08165845,Others,35.019
904,FDX39,14.3,Regular,0.04975339,Meat,210.3586
905,NCV05,10.1,Low Fat,0.030379382,Health and Hygiene,153.4656
906,FDX16,17.85,LF,0.065810045,Frozen Foods,149.105
907,DRK12,9.5,Low Fat,0.0,Soft Drinks,32.89
908,NCA05,20.75,Low Fat,0.025272781,Health and Hygiene,146.6734
909,DRG51,12.1,Low Fat,0.019314961,Dairy,164.6526
910,NCR30,20.6,Low Fat,0.071282168,Household,74.4696
911,NCE31,7.67,Low Fat,0.184843579,Household,33.1216
912,FDM56,12.857645184135976,Low Fat,0.122896411,Fruits and Vegetables,111.1912
913,FDP24,20.6,Low Fat,0.082935004,Baking Goods,119.5756
914,DRM37,15.35,Low Fat,0.161350176,Soft Drinks,196.6768
915,FDN56,5.46,Regular,0.106968096,Fruits and Vegetables,142.6786
916,DRE60,9.395,Low Fat,0.159582185,Soft Drinks,224.772
917,FDW49,12.857645184135976,Low Fat,0.14453827,Canned,180.6002
918,FDM20,10.0,Low Fat,0.038685802,Fruits and Vegetables,243.8144
919,FDK15,12.857645184135976,Low Fat,0.172309903,Meat,98.2042
920,FDK48,7.445,Low Fat,0.037690731,Baking Goods,73.3354
921,FDO49,12.857645184135976,Regular,0.05787008,Breakfast,49.7008
922,FDC09,15.5,Regular,0.026409147,Fruits and Vegetables,102.1332
923,NCZ41,19.85,Low Fat,0.064367627,Health and Hygiene,126.1704
924,FDP19,11.5,Low Fat,0.173516063,Fruits and Vegetables,128.1652
925,FDQ24,12.857645184135976,Low Fat,0.12898088,Baking Goods,250.4724
926,DRL11,10.5,Low Fat,0.048115543,Hard Drinks,159.0946
927,FDO36,19.7,Low Fat,0.077899109,Baking Goods,177.766
928,FDN52,12.857645184135976,Regular,0.13093275,Frozen Foods,86.9198
929,FDF21,10.3,Regular,0.098464979,Fruits and Vegetables,188.653
930,FDU40,20.85,Low Fat,0.037372847,Frozen Foods,192.7478
931,FDS51,13.35,Low Fat,0.032230526,Meat,61.4194
932,FDE45,12.1,Low Fat,0.040357315,Fruits and Vegetables,177.8002
933,FDX50,20.1,Low Fat,0.07461309,Dairy,108.7228
934,NCN14,12.857645184135976,Low Fat,0.160936178,Others,184.2608
935,FDQ21,21.25,Low Fat,0.019502354,Snack Foods,120.8756
936,FDV57,12.857645184135976,Regular,0.065577449,Snack Foods,181.766
937,FDB44,6.655,Low Fat,0.016944719,Fruits and Vegetables,209.2586
938,FDG52,13.65,Low Fat,0.065576228,Frozen Foods,47.7402
939,FDL38,12.857645184135976,Regular,0.02579577,Canned,88.4172
940,NCS54,13.6,Low Fat,0.010008699,Household,176.737
941,DRL37,15.5,Low Fat,0.053362086,Soft Drinks,41.577
942,FDA43,10.895,Low Fat,0.064621927,Fruits and Vegetables,196.6794
943,FDZ39,19.7,Regular,0.018126724,Meat,101.799
944,FDG45,8.1,Low Fat,0.0,Fruits and Vegetables,211.8902
945,FDH10,21.0,Low Fat,0.049263979,Snack Foods,195.0478
946,FDO10,13.65,Regular,0.021343732,Snack Foods,58.3588
947,FDS35,12.857645184135976,LF,0.110681931,Breads,63.2826
948,FDI41,12.857645184135976,Regular,0.061955439,Frozen Foods,145.1418
949,FDN21,12.857645184135976,LF,0.076483451,Snack Foods,163.1236
950,NCO18,13.15,Low Fat,0.024701262,Household,176.8686
951,FDB34,15.25,Low Fat,0.02671821,Snack Foods,85.2198
952,FDD05,19.35,Low Fat,0.016597651,Frozen Foods,121.5098
953,FDX59,12.857645184135976,Low Fat,0.0514111,Breads,33.0558
954,FDZ23,17.75,Regular,0.112985849,Baking Goods,185.424
955,FDX27,20.7,Regular,0.11411709,Dairy,92.7436
956,FDV07,9.5,Low Fat,0.0,Fruits and Vegetables,110.4228
957,FDR14,11.65,Low Fat,0.175033524,Dairy,55.5298
958,FDO01,21.1,Regular,0.020760673,Breakfast,128.7994
959,FDO13,7.865,Low Fat,0.061405051,Breakfast,166.3526
960,FDU25,12.35,Low Fat,0.026676216,Canned,57.0246
961,NCK54,12.857645184135976,Low Fat,0.029380407,Household,114.715
962,FDZ56,16.25,Low Fat,0.025715562,Fruits and Vegetables,168.1474
963,NCL55,12.15,Low Fat,0.065026434,Others,253.704
964,FDD59,10.5,Regular,0.066315023,Starchy Foods,78.296
965,FDJ55,12.8,Regular,0.023664054,Meat,226.0404
966,FDA45,12.857645184135976,Low Fat,0.154627247,Snack Foods,177.637
967,DRF23,4.61,Low Fat,0.205294827,Hard Drinks,172.8396
968,FDT49,7.0,Low Fat,0.152261999,Canned,105.728
969,NCO17,10.0,Low Fat,0.0,Health and Hygiene,120.644
970,FDH22,6.405,Low Fat,0.136275173,Snack Foods,128.1678
971,FDT34,9.3,Low Fat,0.174621343,Snack Foods,104.2964
972,FDB39,11.6,Low Fat,0.038597077,Dairy,57.9272
973,FDQ22,16.75,Low Fat,0.029799965,Snack Foods,39.1822
974,NCN43,12.15,Low Fat,0.011314423,Others,122.973
975,FDG57,14.7,Low Fat,0.072410764,Fruits and Vegetables,48.2034
976,FDR20,20.0,Regular,0.028118435,Fruits and Vegetables,46.7744
977,FDU22,12.857645184135976,Low Fat,0.163350221,Snack Foods,120.2124
978,NCC43,7.39,Low Fat,0.093307713,Household,250.9066
979,FDP01,20.75,Regular,0.105994654,Breakfast,150.5682
980,FDF52,9.3,Low Fat,0.067055339,Frozen Foods,184.2292
981,FDZ33,10.195,Low Fat,0.107376743,Snack Foods,147.6076
982,FDP48,12.857645184135976,Regular,0.043810028,Baking Goods,181.395
983,FDW56,7.68,Low Fat,0.118672537,Fruits and Vegetables,192.2162
984,FDC26,10.195,Low Fat,0.126897925,Canned,110.6886
985,FDF34,9.3,Regular,0.014076503,Snack Foods,200.0084
986,FDJ33,8.895,Regular,0.088305478,Snack Foods,123.473
987,FDD04,16.0,Low Fat,0.090153756,Dairy,143.2154
988,NCJ31,19.2,Low Fat,0.182501773,Others,239.2196
989,FDO57,20.75,Low Fat,0.108710162,Snack Foods,161.7578
990,FDM36,12.857645184135976,Regular,0.058446424,Baking Goods,172.1422
991,NCY05,13.5,Low Fat,0.054990009,Health and Hygiene,35.2874
992,FDS44,12.857645184135976,Regular,0.15528831,Fruits and Vegetables,241.7538
993,FDZ39,19.7,Regular,0.018021361,Meat,101.199
994,NCM31,6.095,Low Fat,0.0816559,Others,143.3154
995,DRK11,8.21,Low Fat,0.010755465,Hard Drinks,150.8392
996,FDO34,17.7,Low Fat,0.050111641,Snack Foods,165.9816
997,NCL30,18.1,Low Fat,0.048931174,Household,127.3336
998,FDK28,5.695,Low Fat,0.065960909,Frozen Foods,259.2646
999,DRJ39,20.25,Low Fat,0.036319195,Dairy,219.3482
1000,NCP06,12.857645184135976,Low Fat,0.039055756,Household,152.3366
1001,FDE33,12.857645184135976,Regular,0.049395242,Fruits and Vegetables,80.3644
1002,FDZ44,8.185,Low Fat,0.038789271,Fruits and Vegetables,115.6808
1003,FDV46,18.2,Low Fat,0.012659235,Snack Foods,140.718
1004,NCO06,19.25,LF,0.108010006,Household,33.3558
1005,DRG03,14.5,Low Fat,0.061934991,Dairy,154.4998
1006,FDU37,9.5,Regular,0.104421237,Canned,80.196
1007,FDI57,19.85,Low Fat,0.053980686,Seafood,196.8768
1008,FDM45,8.655,Regular,0.088121336,Snack Foods,119.7756
1009,FDC26,10.195,Low Fat,0.126359196,Canned,109.2886
1010,FDU14,12.857645184135976,Low Fat,0.034584356,Dairy,248.375
1011,FDB26,14.0,reg,0.031267496,Canned,51.464
1012,FDC29,8.39,Regular,0.024304264,Frozen Foods,114.0176
1013,FDY58,11.65,Low Fat,0.040144377,Snack Foods,228.9694
1014,FDR59,14.5,Regular,0.063851475,Breads,260.4594
1015,FDS03,12.857645184135976,Low Fat,0.079243005,Meat,65.8826
1016,FDR43,18.2,Low Fat,0.161355122,Fruits and Vegetables,38.319
1017,FDZ25,12.857645184135976,Regular,0.02748331,Canned,169.379
1018,NCN26,10.85,Low Fat,0.028738058,Household,117.1808
1019,FDO38,17.25,Low Fat,0.073135768,Canned,77.2986
1020,FDP28,13.65,Regular,0.081096613,Frozen Foods,261.2936
1021,FDG31,12.15,Low Fat,0.063430788,Meat,65.4826
1022,FDI45,13.1,LF,0.037549969,Fruits and Vegetables,176.1054
1023,NCS54,13.6,Low Fat,0.016726506,Household,176.037
1024,FDE17,20.1,Regular,0.054565932,Frozen Foods,152.2366
1025,NCG06,16.35,Low Fat,0.029445361,Household,257.6646
1026,FDQ57,12.857645184135976,Low Fat,0.048932713,Snack Foods,144.476
1027,NCB31,6.235,Low Fat,0.118651919,Household,263.991
1028,NCP29,8.42,Low Fat,0.112728355,Health and Hygiene,65.8168
1029,NCX29,12.857645184135976,Low Fat,0.156094569,Health and Hygiene,144.3102
1030,FDU37,9.5,Regular,0.104933928,Canned,78.796
1031,FDM02,12.5,Regular,0.12341737,Canned,86.0198
1032,FDN16,12.6,Regular,0.062700289,Frozen Foods,102.199
1033,FDR46,16.85,Low Fat,0.139417654,Snack Foods,147.476
1034,FDE50,12.857645184135976,Regular,0.01612717,Canned,189.3556
1035,FDL52,6.635,reg,0.077145553,Frozen Foods,39.8506
1036,FDQ49,20.2,Regular,0.039215075,Breakfast,157.663
1037,FDI14,14.1,Low Fat,0.089859642,Canned,140.2496
1038,FDS16,15.15,Regular,0.066121873,Frozen Foods,145.676
1039,FDU15,13.65,Regular,0.026643448,Meat,37.9532
1040,NCG43,12.857645184135976,Low Fat,0.073879939,Household,94.0462
1041,FDR23,12.857645184135976,Low Fat,0.08139146,Breads,177.837
1042,FDS52,12.857645184135976,Low Fat,0.005448005,Frozen Foods,102.1016
1043,NCP18,12.15,Low Fat,0.028714747,Household,151.9708
1044,DRF23,12.857645184135976,Low Fat,0.122058364,Hard Drinks,172.8396
1045,FDO09,13.5,Regular,0.125528734,Snack Foods,262.191
1046,FDB40,17.5,Regular,0.007555176,Dairy,145.9102
1047,DRK37,12.857645184135976,Low Fat,0.077046505,Soft Drinks,189.453
1048,DRN11,7.85,Low Fat,0.162980276,Hard Drinks,145.2444
1049,FDE22,9.695,Low Fat,0.029632784,Snack Foods,159.692
1050,FDF04,17.5,Low Fat,0.013634468,Frozen Foods,256.4304
1051,FDE41,9.195,Regular,0.064376263,Frozen Foods,83.1566
1052,FDW08,12.857645184135976,LF,0.147663025,Fruits and Vegetables,106.028
1053,NCD54,21.1,Low Fat,0.029003459,Household,143.4786
1054,FDZ33,10.195,low fat,0.107834541,Snack Foods,146.5076
1055,FDO23,17.85,Low Fat,0.146399663,Breads,93.8436
1056,FDN34,15.6,Regular,0.04575559,Snack Foods,167.1132
1057,FDL39,16.1,Regular,0.063278652,Dairy,182.1318
1058,FDT28,13.3,Low Fat,0.063664998,Frozen Foods,151.6708
1059,FDH33,12.85,Low Fat,0.122221269,Snack Foods,45.9428
1060,FDA34,11.5,Low Fat,0.014944614,Starchy Foods,171.808
1061,FDZ56,16.25,Low Fat,0.025732114,Fruits and Vegetables,166.4474
1062,DRH23,14.65,Low Fat,0.171281641,Hard Drinks,54.0614
1063,NCO18,13.15,Low Fat,0.024646608,Household,177.4686
1064,DRG27,8.895,Low Fat,0.0,Dairy,42.0138
1065,FDM28,15.7,Low Fat,0.075661985,Frozen Foods,181.366
1066,NCY41,16.75,Low Fat,0.126765903,Health and Hygiene,35.7532
1067,FDD21,10.3,Regular,0.030563449,Fruits and Vegetables,114.4176
1068,FDD44,8.05,Regular,0.078522357,Fruits and Vegetables,257.1646
1069,FDP16,18.6,Low Fat,0.039294854,Frozen Foods,246.6802
1070,FDQ37,20.75,Low Fat,0.089260667,Breakfast,193.4478
1071,NCY05,13.5,Low Fat,0.05510153,Health and Hygiene,37.0874
1072,NCE07,8.18,low fat,0.013127548,Household,142.0154
1073,DRI51,17.25,Low Fat,0.042233642,Dairy,173.3764
1074,NCI31,20.0,Low Fat,0.081492092,Others,35.519
1075,FDK60,16.5,Regular,0.0,Baking Goods,96.2068
1076,FDY12,9.8,Regular,0.14061104,Baking Goods,49.8008
1077,FDO38,17.25,Low Fat,0.072952298,Canned,76.0986
1078,FDP11,15.85,Low Fat,0.069087481,Breads,218.7166
1079,FDC21,12.857645184135976,Regular,0.075215349,Fruits and Vegetables,108.4254
1080,NCF54,18.0,Low Fat,0.047645037,Household,172.6422
1081,FDC35,12.857645184135976,Low Fat,0.122242847,Starchy Foods,207.5638
1082,FDV43,16.0,Low Fat,0.076975118,Fruits and Vegetables,46.2086
1083,DRE12,4.59,Low Fat,0.070890602,Soft Drinks,111.686
1084,DRE27,11.85,Low Fat,0.132560174,Dairy,97.2726
1085,DRC36,12.857645184135976,Regular,0.044767032,Soft Drinks,173.7054
1086,FDZ38,12.857645184135976,Low Fat,0.007962273,Dairy,174.0422
1087,NCW42,18.2,LF,0.058799705,Household,220.7456
1088,NCZ18,7.825,low fat,0.186445212,Household,255.5698
1089,FDL13,12.857645184135976,Regular,0.098606543,Breakfast,232.73
1090,NCN18,8.895,Low Fat,0.125222705,Household,113.3544
1091,FDI41,18.5,reg,0.062609071,Frozen Foods,148.6418
1092,FDV22,14.85,Regular,0.009930514,Snack Foods,157.463
1093,NCB43,12.857645184135976,Low Fat,0.099428487,Household,187.8898
1094,FDQ46,7.51,Low Fat,0.103793399,Snack Foods,110.1544
1095,FDC44,15.6,Low Fat,0.0,Fruits and Vegetables,111.9518
1096,FDB22,8.02,Low Fat,0.111419588,Snack Foods,154.3998
1097,FDV23,11.0,Low Fat,0.106051405,Breads,124.4046
1098,FDK10,12.857645184135976,Regular,0.04016342,Snack Foods,181.166
1099,FDF05,17.5,Low Fat,0.026925385,Frozen Foods,264.391
1100,FDL33,7.235,Low Fat,0.099962524,Snack Foods,193.8452
1101,FDD20,12.857645184135976,Low Fat,0.020614212,Fruits and Vegetables,126.4046
1102,NCM54,12.857645184135976,Low Fat,0.050692386,Household,125.6678
1103,FDW48,18.0,Low Fat,0.008589133,Baking Goods,81.0618
1104,DRF36,16.1,Low Fat,0.023673342,Soft Drinks,189.0846
1105,NCM06,7.475,LF,0.075881475,Household,155.2656
1106,NCA54,16.5,Low Fat,0.061330521,Household,178.7318
1107,FDT46,11.35,Low Fat,0.030869612,Snack Foods,49.8008
1108,FDH20,16.1,Regular,0.024944396,Fruits and Vegetables,95.441
1109,FDT38,18.7,Low Fat,0.057654132,Dairy,83.1566
1110,NCI17,8.645,Low Fat,0.143713508,Health and Hygiene,96.641
1111,FDO40,17.1,Low Fat,0.032812669,Frozen Foods,147.1392
1112,FDP12,9.8,Regular,0.045266806,Baking Goods,36.9874
1113,FDI44,12.857645184135976,Low Fat,0.099747488,Fruits and Vegetables,75.2328
1114,FDB21,12.857645184135976,Low Fat,0.0,Fruits and Vegetables,242.9854
1115,FDG16,15.25,Low Fat,0.089742065,Frozen Foods,213.7192
1116,NCZ42,10.5,Low Fat,0.011351778,Household,236.5248
1117,NCJ30,5.82,LF,0.081096613,Household,170.379
1118,FDV49,10.0,Low Fat,0.025827199,Canned,263.2226
1119,NCO43,5.5,LF,0.0,Others,103.1016
1120,NCF18,18.35,Low Fat,0.148938624,Household,191.9504
1121,NCX41,19.0,Low Fat,0.0,Health and Hygiene,211.0244
1122,FDY11,6.71,Regular,0.029535852,Baking Goods,67.5142
1123,FDU46,10.3,Regular,0.011143599,Snack Foods,88.254
1124,NCI18,18.35,Low Fat,0.014045832,Household,222.7746
1125,FDL38,13.8,reg,0.014730322,Canned,90.9172
1126,FDY60,10.5,Regular,0.026520107,Baking Goods,144.8128
1127,FDF53,20.75,Regular,0.083736551,Frozen Foods,178.7318
1128,NCM05,12.857645184135976,Low Fat,0.059557164,Health and Hygiene,263.7226
1129,FDR13,9.895,Regular,0.028837829,Canned,117.8492
1130,FDA49,12.857645184135976,Low Fat,0.113669629,Canned,89.0198
1131,FDY52,12.857645184135976,Low Fat,0.012865901,Frozen Foods,59.3536
1132,FDL02,12.857645184135976,Regular,0.182236555,Canned,107.1622
1133,FDO24,11.1,Low Fat,0.176069023,Baking Goods,156.7604
1134,FDM08,10.1,reg,0.053574075,Fruits and Vegetables,223.7088
1135,FDJ02,12.857645184135976,Regular,0.044063785,Canned,147.2418
1136,FDW40,14.0,Regular,0.105573769,Frozen Foods,143.9812
1137,FDT46,12.857645184135976,Low Fat,0.030657949,Snack Foods,50.5008
1138,FDY08,9.395,Regular,0.172042892,Fruits and Vegetables,139.9838
1139,FDM21,12.857645184135976,Low Fat,0.064052392,Snack Foods,256.1646
1140,FDH26,12.857645184135976,Regular,0.034531702,Canned,142.2496
1141,NCM42,6.13,Low Fat,0.028365524,Household,110.0912
1142,FDW13,8.5,Low Fat,0.097866209,Canned,51.1324
1143,FDN04,12.857645184135976,Regular,0.01401884,Frozen Foods,178.1344
1144,NCD07,9.1,Low Fat,0.0,Household,114.4518
1145,FDB34,15.25,Low Fat,0.044539371,Snack Foods,85.3198
1146,FDD09,13.5,Low Fat,0.0,Fruits and Vegetables,179.9976
1147,DRH59,10.8,low fat,0.0,Hard Drinks,72.338
1148,DRN36,15.2,Low Fat,0.050168354,Soft Drinks,95.3752
1149,DRA24,19.35,Regular,0.040154087,Soft Drinks,164.6868
1150,FDY36,12.857645184135976,Low Fat,0.009364957,Baking Goods,74.238
1151,FDG34,11.5,Regular,0.037539164,Snack Foods,106.9254
1152,FDK43,9.8,Low Fat,0.026992588,Meat,127.302
1153,NCM06,7.475,Low Fat,0.076156245,Household,156.4656
1154,FDK22,9.8,Low Fat,0.026192765,Snack Foods,215.685
1155,FDF21,12.857645184135976,Regular,0.058542509,Fruits and Vegetables,188.353
1156,FDO33,14.75,Low Fat,0.089686322,Snack Foods,115.3518
1157,NCO43,5.5,Low Fat,0.047364617,Others,100.0016
1158,FDX15,17.2,Low Fat,0.156269303,Meat,159.6578
1159,FDS10,19.2,Low Fat,0.035185588,Snack Foods,181.3318
1160,FDD46,12.857645184135976,Low Fat,0.247321039,Snack Foods,152.3998
1161,FDV22,14.85,Regular,0.009979271,Snack Foods,155.763
1162,NCR29,7.565,Low Fat,0.054863459,Health and Hygiene,58.393
1163,FDU34,18.25,Low Fat,0.075620262,Snack Foods,123.8046
1164,FDZ35,9.6,Regular,0.02236923,Breads,104.799
1165,FDA26,7.855,Regular,0.073906461,Dairy,218.4482
1166,FDP38,10.1,Low Fat,0.032283676,Canned,52.2008
1167,FDT22,10.395,Low Fat,0.11207602,Snack Foods,58.022
1168,FDA50,16.25,Low Fat,0.087668236,Dairy,94.941
1169,FDY10,17.6,Low Fat,0.049067877,Snack Foods,115.6176
1170,FDC09,15.5,Regular,0.026355345,Fruits and Vegetables,100.8332
1171,FDT19,7.59,Regular,0.145631695,Fruits and Vegetables,172.808
1172,FDO34,12.857645184135976,Low Fat,0.029793955,Snack Foods,167.2816
1173,NCV54,11.1,Low Fat,0.033160417,Household,119.6124
1174,FDH57,12.857645184135976,Low Fat,0.035574413,Fruits and Vegetables,131.4284
1175,FDA28,16.1,Regular,0.047801883,Frozen Foods,127.4362
1176,FDB05,5.155,Low Fat,0.083198341,Frozen Foods,246.0776
1177,FDK45,12.857645184135976,Low Fat,0.059281315,Seafood,111.586
1178,DRH01,12.857645184135976,Low Fat,0.171417316,Soft Drinks,173.0738
1179,FDY52,6.365,Low Fat,0.007348286,Frozen Foods,62.8536
1180,FDR48,11.65,LF,0.0,Baking Goods,152.6024
1181,FDY15,18.25,Regular,0.170795745,Dairy,154.463
1182,FDM51,11.8,Regular,0.025966531,Meat,102.2674
1183,FDR43,18.2,Low Fat,0.161489509,Fruits and Vegetables,37.619
1184,FDW09,13.65,reg,0.025899245,Snack Foods,81.1302
1185,FDV44,8.365,Regular,0.039906377,Fruits and Vegetables,191.3188
1186,DRH37,12.857645184135976,Low Fat,0.072864869,Soft Drinks,165.2526
1187,FDZ47,20.7,Regular,0.079419755,Baking Goods,99.8042
1188,NCP43,17.75,Low Fat,0.03050705,Others,180.366
