ID,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
1579,OUT018,2009,Medium,Tier 3,Supermarket Type2
1580,OUT027,1985,Medium,Tier 3,Supermarket Type3
1581,OUT018,2009,Medium,Tier 3,Supermarket Type2
1582,OUT046,1997,Small,Tier 1,Supermarket Type1
1583,OUT046,1997,Small,Tier 1,Supermarket Type1
1584,OUT046,1997,Small,Tier 1,Supermarket Type1
1585,OUT049,1999,Medium,Tier 1,Supermarket Type1
1586,OUT017,2007,Medium,Tier 2,Supermarket Type1
1587,OUT013,1987,High,Tier 3,Supermarket Type1
1588,OUT035,2004,Small,Tier 2,Supermarket Type1
1589,OUT019,1985,Small,Tier 1,Grocery Store
1590,OUT046,1997,Small,Tier 1,Supermarket Type1
1591,OUT010,1998,Medium,Tier 3,Grocery Store
1592,OUT027,1985,Medium,Tier 3,Supermarket Type3
1593,OUT049,1999,Medium,Tier 1,Supermarket Type1
1594,OUT045,2002,Medium,Tier 2,Supermarket Type1
1595,OUT027,1985,Medium,Tier 3,Supermarket Type3
1596,OUT049,1999,Medium,Tier 1,Supermarket Type1
1597,OUT018,2009,Medium,Tier 3,Supermarket Type2
1598,OUT049,1999,Medium,Tier 1,Supermarket Type1
1599,OUT045,2002,Medium,Tier 2,Supermarket Type1
1600,OUT027,1985,Medium,Tier 3,Supermarket Type3
1601,OUT045,2002,Medium,Tier 2,Supermarket Type1
1602,OUT049,1999,Medium,Tier 1,Supermarket Type1
1603,OUT018,2009,Medium,Tier 3,Supermarket Type2
1604,OUT013,1987,High,Tier 3,Supermarket Type1
1605,OUT035,2004,Small,Tier 2,Supermarket Type1
1606,OUT010,1998,Medium,Tier 3,Grocery Store
1607,OUT046,1997,Small,Tier 1,Supermarket Type1
1608,OUT035,2004,Small,Tier 2,Supermarket Type1
1609,OUT046,1997,Small,Tier 1,Supermarket Type1
1610,OUT046,1997,Small,Tier 1,Supermarket Type1
1611,OUT045,2002,Medium,Tier 2,Supermarket Type1
1612,OUT027,1985,Medium,Tier 3,Supermarket Type3
1613,OUT018,2009,Medium,Tier 3,Supermarket Type2
1614,OUT013,1987,High,Tier 3,Supermarket Type1
1615,OUT013,1987,High,Tier 3,Supermarket Type1
1616,OUT049,1999,Medium,Tier 1,Supermarket Type1
1617,OUT018,2009,Medium,Tier 3,Supermarket Type2
1618,OUT010,1998,Medium,Tier 3,Grocery Store
1619,OUT045,2002,Medium,Tier 2,Supermarket Type1
1620,OUT027,1985,Medium,Tier 3,Supermarket Type3
1621,OUT046,1997,Small,Tier 1,Supermarket Type1
1622,OUT035,2004,Small,Tier 2,Supermarket Type1
1623,OUT035,2004,Small,Tier 2,Supermarket Type1
1624,OUT013,1987,High,Tier 3,Supermarket Type1
1625,OUT017,2007,Medium,Tier 2,Supermarket Type1
1626,OUT018,2009,Medium,Tier 3,Supermarket Type2
1627,OUT013,1987,High,Tier 3,Supermarket Type1
1628,OUT027,1985,Medium,Tier 3,Supermarket Type3
1629,OUT018,2009,Medium,Tier 3,Supermarket Type2
1630,OUT017,2007,Medium,Tier 2,Supermarket Type1
1631,OUT017,2007,Medium,Tier 2,Supermarket Type1
1632,OUT046,1997,Small,Tier 1,Supermarket Type1
1633,OUT035,2004,Small,Tier 2,Supermarket Type1
1634,OUT013,1987,High,Tier 3,Supermarket Type1
1635,OUT045,2002,Medium,Tier 2,Supermarket Type1
1636,OUT049,1999,Medium,Tier 1,Supermarket Type1
1637,OUT013,1987,High,Tier 3,Supermarket Type1
1638,OUT013,1987,High,Tier 3,Supermarket Type1
1639,OUT049,1999,Medium,Tier 1,Supermarket Type1
1640,OUT045,2002,Medium,Tier 2,Supermarket Type1
1641,OUT018,2009,Medium,Tier 3,Supermarket Type2
1642,OUT049,1999,Medium,Tier 1,Supermarket Type1
1643,OUT010,1998,Medium,Tier 3,Grocery Store
1644,OUT049,1999,Medium,Tier 1,Supermarket Type1
1645,OUT010,1998,Medium,Tier 3,Grocery Store
1646,OUT018,2009,Medium,Tier 3,Supermarket Type2
1647,OUT046,1997,Small,Tier 1,Supermarket Type1
1648,OUT018,2009,Medium,Tier 3,Supermarket Type2
1649,OUT018,2009,Medium,Tier 3,Supermarket Type2
1650,OUT046,1997,Small,Tier 1,Supermarket Type1
1651,OUT049,1999,Medium,Tier 1,Supermarket Type1
1652,OUT010,1998,Medium,Tier 3,Grocery Store
1653,OUT013,1987,High,Tier 3,Supermarket Type1
1654,OUT017,2007,Medium,Tier 2,Supermarket Type1
1655,OUT013,1987,High,Tier 3,Supermarket Type1
1656,OUT045,2002,Medium,Tier 2,Supermarket Type1
1657,OUT035,2004,Small,Tier 2,Supermarket Type1
1658,OUT018,2009,Medium,Tier 3,Supermarket Type2
1659,OUT045,2002,Medium,Tier 2,Supermarket Type1
1660,OUT017,2007,Medium,Tier 2,Supermarket Type1
1661,OUT035,2004,Small,Tier 2,Supermarket Type1
1662,OUT049,1999,Medium,Tier 1,Supermarket Type1
1663,OUT013,1987,High,Tier 3,Supermarket Type1
1664,OUT013,1987,High,Tier 3,Supermarket Type1
1665,OUT017,2007,Medium,Tier 2,Supermarket Type1
1666,OUT049,1999,Medium,Tier 1,Supermarket Type1
1667,OUT018,2009,Medium,Tier 3,Supermarket Type2
1668,OUT013,1987,High,Tier 3,Supermarket Type1
1669,OUT018,2009,Medium,Tier 3,Supermarket Type2
1670,OUT046,1997,Small,Tier 1,Supermarket Type1
1671,OUT019,1985,Small,Tier 1,Grocery Store
1672,OUT019,1985,Small,Tier 1,Grocery Store
1673,OUT027,1985,Medium,Tier 3,Supermarket Type3
1674,OUT035,2004,Small,Tier 2,Supermarket Type1
1675,OUT018,2009,Medium,Tier 3,Supermarket Type2
1676,OUT027,1985,Medium,Tier 3,Supermarket Type3
1677,OUT017,2007,Medium,Tier 2,Supermarket Type1
1678,OUT035,2004,Small,Tier 2,Supermarket Type1
1679,OUT018,2009,Medium,Tier 3,Supermarket Type2
1680,OUT046,1997,Small,Tier 1,Supermarket Type1
1681,OUT019,1985,Small,Tier 1,Grocery Store
1682,OUT045,2002,Medium,Tier 2,Supermarket Type1
1683,OUT013,1987,High,Tier 3,Supermarket Type1
1684,OUT013,1987,High,Tier 3,Supermarket Type1
1685,OUT017,2007,Medium,Tier 2,Supermarket Type1
1686,OUT045,2002,Medium,Tier 2,Supermarket Type1
1687,OUT017,2007,Medium,Tier 2,Supermarket Type1
1688,OUT018,2009,Medium,Tier 3,Supermarket Type2
1689,OUT027,1985,Medium,Tier 3,Supermarket Type3
1690,OUT027,1985,Medium,Tier 3,Supermarket Type3
1691,OUT035,2004,Small,Tier 2,Supermarket Type1
1692,OUT018,2009,Medium,Tier 3,Supermarket Type2
1693,OUT035,2004,Small,Tier 2,Supermarket Type1
1694,OUT035,2004,Small,Tier 2,Supermarket Type1
1695,OUT013,1987,High,Tier 3,Supermarket Type1
1696,OUT013,1987,High,Tier 3,Supermarket Type1
1697,OUT010,1998,Medium,Tier 3,Grocery Store
1698,OUT013,1987,High,Tier 3,Supermarket Type1
1699,OUT045,2002,Medium,Tier 2,Supermarket Type1
1700,OUT019,1985,Small,Tier 1,Grocery Store
1701,OUT027,1985,Medium,Tier 3,Supermarket Type3
1702,OUT019,1985,Small,Tier 1,Grocery Store
1703,OUT013,1987,High,Tier 3,Supermarket Type1
1704,OUT018,2009,Medium,Tier 3,Supermarket Type2
1705,OUT035,2004,Small,Tier 2,Supermarket Type1
1706,OUT017,2007,Medium,Tier 2,Supermarket Type1
1707,OUT027,1985,Medium,Tier 3,Supermarket Type3
1708,OUT017,2007,Medium,Tier 2,Supermarket Type1
1709,OUT019,1985,Small,Tier 1,Grocery Store
1710,OUT045,2002,Medium,Tier 2,Supermarket Type1
1711,OUT027,1985,Medium,Tier 3,Supermarket Type3
1712,OUT010,1998,Medium,Tier 3,Grocery Store
1713,OUT049,1999,Medium,Tier 1,Supermarket Type1
1714,OUT027,1985,Medium,Tier 3,Supermarket Type3
1715,OUT049,1999,Medium,Tier 1,Supermarket Type1
1716,OUT010,1998,Medium,Tier 3,Grocery Store
1717,OUT013,1987,High,Tier 3,Supermarket Type1
1718,OUT018,2009,Medium,Tier 3,Supermarket Type2
1719,OUT049,1999,Medium,Tier 1,Supermarket Type1
1720,OUT035,2004,Small,Tier 2,Supermarket Type1
1721,OUT018,2009,Medium,Tier 3,Supermarket Type2
1722,OUT049,1999,Medium,Tier 1,Supermarket Type1
1723,OUT018,2009,Medium,Tier 3,Supermarket Type2
1724,OUT045,2002,Medium,Tier 2,Supermarket Type1
1725,OUT046,1997,Small,Tier 1,Supermarket Type1
1726,OUT046,1997,Small,Tier 1,Supermarket Type1
1727,OUT013,1987,High,Tier 3,Supermarket Type1
1728,OUT017,2007,Medium,Tier 2,Supermarket Type1
1729,OUT045,2002,Medium,Tier 2,Supermarket Type1
1730,OUT013,1987,High,Tier 3,Supermarket Type1
1731,OUT017,2007,Medium,Tier 2,Supermarket Type1
1732,OUT046,1997,Small,Tier 1,Supermarket Type1
1733,OUT035,2004,Small,Tier 2,Supermarket Type1
1734,OUT045,2002,Medium,Tier 2,Supermarket Type1
1735,OUT049,1999,Medium,Tier 1,Supermarket Type1
1736,OUT045,2002,Medium,Tier 2,Supermarket Type1
1737,OUT046,1997,Small,Tier 1,Supermarket Type1
1738,OUT035,2004,Small,Tier 2,Supermarket Type1
1739,OUT046,1997,Small,Tier 1,Supermarket Type1
1740,OUT046,1997,Small,Tier 1,Supermarket Type1
1741,OUT019,1985,Small,Tier 1,Grocery Store
1742,OUT035,2004,Small,Tier 2,Supermarket Type1
1743,OUT017,2007,Medium,Tier 2,Supermarket Type1
1744,OUT045,2002,Medium,Tier 2,Supermarket Type1
1745,OUT017,2007,Medium,Tier 2,Supermarket Type1
1746,OUT013,1987,High,Tier 3,Supermarket Type1
1747,OUT049,1999,Medium,Tier 1,Supermarket Type1
1748,OUT017,2007,Medium,Tier 2,Supermarket Type1
1749,OUT045,2002,Medium,Tier 2,Supermarket Type1
1750,OUT035,2004,Small,Tier 2,Supermarket Type1
1751,OUT049,1999,Medium,Tier 1,Supermarket Type1
1752,OUT045,2002,Medium,Tier 2,Supermarket Type1
1753,OUT019,1985,Small,Tier 1,Grocery Store
1754,OUT049,1999,Medium,Tier 1,Supermarket Type1
1755,OUT010,1998,Medium,Tier 3,Grocery Store
1756,OUT018,2009,Medium,Tier 3,Supermarket Type2
1757,OUT017,2007,Medium,Tier 2,Supermarket Type1
1758,OUT046,1997,Small,Tier 1,Supermarket Type1
1759,OUT019,1985,Small,Tier 1,Grocery Store
1760,OUT046,1997,Small,Tier 1,Supermarket Type1
1761,OUT017,2007,Medium,Tier 2,Supermarket Type1
1762,OUT049,1999,Medium,Tier 1,Supermarket Type1
1763,OUT049,1999,Medium,Tier 1,Supermarket Type1
1764,OUT018,2009,Medium,Tier 3,Supermarket Type2
1765,OUT018,2009,Medium,Tier 3,Supermarket Type2
1766,OUT027,1985,Medium,Tier 3,Supermarket Type3
1767,OUT046,1997,Small,Tier 1,Supermarket Type1
1768,OUT045,2002,Medium,Tier 2,Supermarket Type1
1769,OUT013,1987,High,Tier 3,Supermarket Type1
1770,OUT018,2009,Medium,Tier 3,Supermarket Type2
1771,OUT017,2007,Medium,Tier 2,Supermarket Type1
1772,OUT046,1997,Small,Tier 1,Supermarket Type1
1773,OUT046,1997,Small,Tier 1,Supermarket Type1
1774,OUT018,2009,Medium,Tier 3,Supermarket Type2
1775,OUT027,1985,Medium,Tier 3,Supermarket Type3
1776,OUT018,2009,Medium,Tier 3,Supermarket Type2
1777,OUT019,1985,Small,Tier 1,Grocery Store
1778,OUT017,2007,Medium,Tier 2,Supermarket Type1
1779,OUT035,2004,Small,Tier 2,Supermarket Type1
1780,OUT027,1985,Medium,Tier 3,Supermarket Type3
1781,OUT018,2009,Medium,Tier 3,Supermarket Type2
1782,OUT018,2009,Medium,Tier 3,Supermarket Type2
1783,OUT045,2002,Medium,Tier 2,Supermarket Type1
1784,OUT035,2004,Small,Tier 2,Supermarket Type1
1785,OUT017,2007,Medium,Tier 2,Supermarket Type1
1786,OUT018,2009,Medium,Tier 3,Supermarket Type2
1787,OUT017,2007,Medium,Tier 2,Supermarket Type1
1788,OUT035,2004,Small,Tier 2,Supermarket Type1
1789,OUT010,1998,Medium,Tier 3,Grocery Store
1790,OUT019,1985,Small,Tier 1,Grocery Store
1791,OUT035,2004,Small,Tier 2,Supermarket Type1
1792,OUT019,1985,Small,Tier 1,Grocery Store
1793,OUT049,1999,Medium,Tier 1,Supermarket Type1
1794,OUT046,1997,Small,Tier 1,Supermarket Type1
1795,OUT013,1987,High,Tier 3,Supermarket Type1
1796,OUT049,1999,Medium,Tier 1,Supermarket Type1
1797,OUT035,2004,Small,Tier 2,Supermarket Type1
1798,OUT045,2002,Medium,Tier 2,Supermarket Type1
1799,OUT013,1987,High,Tier 3,Supermarket Type1
1800,OUT013,1987,High,Tier 3,Supermarket Type1
1801,OUT010,1998,Medium,Tier 3,Grocery Store
1802,OUT035,2004,Small,Tier 2,Supermarket Type1
1803,OUT013,1987,High,Tier 3,Supermarket Type1
1804,OUT035,2004,Small,Tier 2,Supermarket Type1
1805,OUT027,1985,Medium,Tier 3,Supermarket Type3
1806,OUT019,1985,Small,Tier 1,Grocery Store
1807,OUT013,1987,High,Tier 3,Supermarket Type1
1808,OUT019,1985,Small,Tier 1,Grocery Store
1809,OUT049,1999,Medium,Tier 1,Supermarket Type1
1810,OUT035,2004,Small,Tier 2,Supermarket Type1
1811,OUT035,2004,Small,Tier 2,Supermarket Type1
1812,OUT017,2007,Medium,Tier 2,Supermarket Type1
1813,OUT049,1999,Medium,Tier 1,Supermarket Type1
1814,OUT046,1997,Small,Tier 1,Supermarket Type1
1815,OUT019,1985,Small,Tier 1,Grocery Store
1816,OUT035,2004,Small,Tier 2,Supermarket Type1
1817,OUT045,2002,Medium,Tier 2,Supermarket Type1
1818,OUT035,2004,Small,Tier 2,Supermarket Type1
1819,OUT013,1987,High,Tier 3,Supermarket Type1
1820,OUT046,1997,Small,Tier 1,Supermarket Type1
1821,OUT017,2007,Medium,Tier 2,Supermarket Type1
1822,OUT049,1999,Medium,Tier 1,Supermarket Type1
1823,OUT046,1997,Small,Tier 1,Supermarket Type1
1824,OUT017,2007,Medium,Tier 2,Supermarket Type1
1825,OUT010,1998,Medium,Tier 3,Grocery Store
1826,OUT017,2007,Medium,Tier 2,Supermarket Type1
1827,OUT049,1999,Medium,Tier 1,Supermarket Type1
1828,OUT019,1985,Small,Tier 1,Grocery Store
1829,OUT017,2007,Medium,Tier 2,Supermarket Type1
1830,OUT019,1985,Small,Tier 1,Grocery Store
1831,OUT035,2004,Small,Tier 2,Supermarket Type1
1832,OUT035,2004,Small,Tier 2,Supermarket Type1
1833,OUT018,2009,Medium,Tier 3,Supermarket Type2
1834,OUT017,2007,Medium,Tier 2,Supermarket Type1
1835,OUT046,1997,Small,Tier 1,Supermarket Type1
1836,OUT013,1987,High,Tier 3,Supermarket Type1
1837,OUT035,2004,Small,Tier 2,Supermarket Type1
1838,OUT018,2009,Medium,Tier 3,Supermarket Type2
1839,OUT035,2004,Small,Tier 2,Supermarket Type1
1840,OUT010,1998,Medium,Tier 3,Grocery Store
1841,OUT046,1997,Small,Tier 1,Supermarket Type1
1842,OUT010,1998,Medium,Tier 3,Grocery Store
1843,OUT049,1999,Medium,Tier 1,Supermarket Type1
1844,OUT035,2004,Small,Tier 2,Supermarket Type1
1845,OUT049,1999,Medium,Tier 1,Supermarket Type1
1846,OUT010,1998,Medium,Tier 3,Grocery Store
1847,OUT013,1987,High,Tier 3,Supermarket Type1
1848,OUT019,1985,Small,Tier 1,Grocery Store
1849,OUT013,1987,High,Tier 3,Supermarket Type1
1850,OUT046,1997,Small,Tier 1,Supermarket Type1
1851,OUT017,2007,Medium,Tier 2,Supermarket Type1
1852,OUT017,2007,Medium,Tier 2,Supermarket Type1
1853,OUT018,2009,Medium,Tier 3,Supermarket Type2
1854,OUT035,2004,Small,Tier 2,Supermarket Type1
1855,OUT010,1998,Medium,Tier 3,Grocery Store
1856,OUT010,1998,Medium,Tier 3,Grocery Store
1857,OUT018,2009,Medium,Tier 3,Supermarket Type2
1858,OUT049,1999,Medium,Tier 1,Supermarket Type1
1859,OUT049,1999,Medium,Tier 1,Supermarket Type1
1860,OUT027,1985,Medium,Tier 3,Supermarket Type3
1861,OUT018,2009,Medium,Tier 3,Supermarket Type2
1862,OUT013,1987,High,Tier 3,Supermarket Type1
1863,OUT035,2004,Small,Tier 2,Supermarket Type1
1864,OUT035,2004,Small,Tier 2,Supermarket Type1
1865,OUT018,2009,Medium,Tier 3,Supermarket Type2
1866,OUT027,1985,Medium,Tier 3,Supermarket Type3
1867,OUT049,1999,Medium,Tier 1,Supermarket Type1
1868,OUT010,1998,Medium,Tier 3,Grocery Store
1869,OUT046,1997,Small,Tier 1,Supermarket Type1
1870,OUT017,2007,Medium,Tier 2,Supermarket Type1
1871,OUT045,2002,Medium,Tier 2,Supermarket Type1
1872,OUT046,1997,Small,Tier 1,Supermarket Type1
1873,OUT046,1997,Small,Tier 1,Supermarket Type1
1874,OUT010,1998,Medium,Tier 3,Grocery Store
1875,OUT049,1999,Medium,Tier 1,Supermarket Type1
1876,OUT010,1998,Medium,Tier 3,Grocery Store
1877,OUT046,1997,Small,Tier 1,Supermarket Type1
1878,OUT017,2007,Medium,Tier 2,Supermarket Type1
1879,OUT045,2002,Medium,Tier 2,Supermarket Type1
1880,OUT045,2002,Medium,Tier 2,Supermarket Type1
1881,OUT019,1985,Small,Tier 1,Grocery Store
1882,OUT013,1987,High,Tier 3,Supermarket Type1
1883,OUT045,2002,Medium,Tier 2,Supermarket Type1
1884,OUT046,1997,Small,Tier 1,Supermarket Type1
1885,OUT035,2004,Small,Tier 2,Supermarket Type1
1886,OUT049,1999,Medium,Tier 1,Supermarket Type1
1887,OUT045,2002,Medium,Tier 2,Supermarket Type1
1888,OUT019,1985,Small,Tier 1,Grocery Store
1889,OUT017,2007,Medium,Tier 2,Supermarket Type1
1890,OUT027,1985,Medium,Tier 3,Supermarket Type3
1891,OUT017,2007,Medium,Tier 2,Supermarket Type1
1892,OUT045,2002,Medium,Tier 2,Supermarket Type1
1893,OUT049,1999,Medium,Tier 1,Supermarket Type1
1894,OUT018,2009,Medium,Tier 3,Supermarket Type2
1895,OUT049,1999,Medium,Tier 1,Supermarket Type1
1896,OUT045,2002,Medium,Tier 2,Supermarket Type1
1897,OUT027,1985,Medium,Tier 3,Supermarket Type3
1898,OUT049,1999,Medium,Tier 1,Supermarket Type1
1899,OUT046,1997,Small,Tier 1,Supermarket Type1
1900,OUT035,2004,Small,Tier 2,Supermarket Type1
1901,OUT046,1997,Small,Tier 1,Supermarket Type1
1902,OUT017,2007,Medium,Tier 2,Supermarket Type1
1903,OUT027,1985,Medium,Tier 3,Supermarket Type3
1904,OUT046,1997,Small,Tier 1,Supermarket Type1
1905,OUT013,1987,High,Tier 3,Supermarket Type1
1906,OUT018,2009,Medium,Tier 3,Supermarket Type2
1907,OUT027,1985,Medium,Tier 3,Supermarket Type3
1908,OUT035,2004,Small,Tier 2,Supermarket Type1
1909,OUT045,2002,Medium,Tier 2,Supermarket Type1
1910,OUT049,1999,Medium,Tier 1,Supermarket Type1
1911,OUT013,1987,High,Tier 3,Supermarket Type1
1912,OUT013,1987,High,Tier 3,Supermarket Type1
1913,OUT017,2007,Medium,Tier 2,Supermarket Type1
1914,OUT019,1985,Small,Tier 1,Grocery Store
1915,OUT019,1985,Small,Tier 1,Grocery Store
1916,OUT049,1999,Medium,Tier 1,Supermarket Type1
1917,OUT018,2009,Medium,Tier 3,Supermarket Type2
1918,OUT045,2002,Medium,Tier 2,Supermarket Type1
1919,OUT035,2004,Small,Tier 2,Supermarket Type1
1920,OUT018,2009,Medium,Tier 3,Supermarket Type2
1921,OUT017,2007,Medium,Tier 2,Supermarket Type1
1922,OUT010,1998,Medium,Tier 3,Grocery Store
1923,OUT027,1985,Medium,Tier 3,Supermarket Type3
1924,OUT013,1987,High,Tier 3,Supermarket Type1
1925,OUT027,1985,Medium,Tier 3,Supermarket Type3
1926,OUT035,2004,Small,Tier 2,Supermarket Type1
1927,OUT035,2004,Small,Tier 2,Supermarket Type1
1928,OUT013,1987,High,Tier 3,Supermarket Type1
1929,OUT013,1987,High,Tier 3,Supermarket Type1
1930,OUT027,1985,Medium,Tier 3,Supermarket Type3
1931,OUT013,1987,High,Tier 3,Supermarket Type1
1932,OUT018,2009,Medium,Tier 3,Supermarket Type2
1933,OUT019,1985,Small,Tier 1,Grocery Store
1934,OUT045,2002,Medium,Tier 2,Supermarket Type1
1935,OUT035,2004,Small,Tier 2,Supermarket Type1
1936,OUT017,2007,Medium,Tier 2,Supermarket Type1
1937,OUT017,2007,Medium,Tier 2,Supermarket Type1
1938,OUT010,1998,Medium,Tier 3,Grocery Store
1939,OUT013,1987,High,Tier 3,Supermarket Type1
1940,OUT045,2002,Medium,Tier 2,Supermarket Type1
1941,OUT035,2004,Small,Tier 2,Supermarket Type1
1942,OUT019,1985,Small,Tier 1,Grocery Store
1943,OUT046,1997,Small,Tier 1,Supermarket Type1
1944,OUT045,2002,Medium,Tier 2,Supermarket Type1
1945,OUT045,2002,Medium,Tier 2,Supermarket Type1
1946,OUT018,2009,Medium,Tier 3,Supermarket Type2
1947,OUT049,1999,Medium,Tier 1,Supermarket Type1
1948,OUT049,1999,Medium,Tier 1,Supermarket Type1
1949,OUT018,2009,Medium,Tier 3,Supermarket Type2
1950,OUT027,1985,Medium,Tier 3,Supermarket Type3
1951,OUT046,1997,Small,Tier 1,Supermarket Type1
1952,OUT010,1998,Medium,Tier 3,Grocery Store
1953,OUT045,2002,Medium,Tier 2,Supermarket Type1
1954,OUT045,2002,Medium,Tier 2,Supermarket Type1
1955,OUT017,2007,Medium,Tier 2,Supermarket Type1
1956,OUT018,2009,Medium,Tier 3,Supermarket Type2
1957,OUT049,1999,Medium,Tier 1,Supermarket Type1
1958,OUT045,2002,Medium,Tier 2,Supermarket Type1
1959,OUT049,1999,Medium,Tier 1,Supermarket Type1
1960,OUT013,1987,High,Tier 3,Supermarket Type1
1961,OUT049,1999,Medium,Tier 1,Supermarket Type1
1962,OUT027,1985,Medium,Tier 3,Supermarket Type3
1963,OUT019,1985,Small,Tier 1,Grocery Store
1964,OUT045,2002,Medium,Tier 2,Supermarket Type1
1965,OUT045,2002,Medium,Tier 2,Supermarket Type1
1966,OUT018,2009,Medium,Tier 3,Supermarket Type2
1967,OUT019,1985,Small,Tier 1,Grocery Store
1968,OUT045,2002,Medium,Tier 2,Supermarket Type1
1969,OUT027,1985,Medium,Tier 3,Supermarket Type3
1970,OUT045,2002,Medium,Tier 2,Supermarket Type1
1971,OUT027,1985,Medium,Tier 3,Supermarket Type3
1972,OUT046,1997,Small,Tier 1,Supermarket Type1
1973,OUT049,1999,Medium,Tier 1,Supermarket Type1
1974,OUT049,1999,Medium,Tier 1,Supermarket Type1
1975,OUT017,2007,Medium,Tier 2,Supermarket Type1
1976,OUT017,2007,Medium,Tier 2,Supermarket Type1
1977,OUT019,1985,Small,Tier 1,Grocery Store
1978,OUT027,1985,Medium,Tier 3,Supermarket Type3
1979,OUT046,1997,Small,Tier 1,Supermarket Type1
1980,OUT018,2009,Medium,Tier 3,Supermarket Type2
1981,OUT045,2002,Medium,Tier 2,Supermarket Type1
1982,OUT049,1999,Medium,Tier 1,Supermarket Type1
1983,OUT049,1999,Medium,Tier 1,Supermarket Type1
1984,OUT013,1987,High,Tier 3,Supermarket Type1
1985,OUT017,2007,Medium,Tier 2,Supermarket Type1
1986,OUT018,2009,Medium,Tier 3,Supermarket Type2
1987,OUT045,2002,Medium,Tier 2,Supermarket Type1
1988,OUT027,1985,Medium,Tier 3,Supermarket Type3
1989,OUT010,1998,Medium,Tier 3,Grocery Store
1990,OUT027,1985,Medium,Tier 3,Supermarket Type3
1991,OUT010,1998,Medium,Tier 3,Grocery Store
1992,OUT046,1997,Small,Tier 1,Supermarket Type1
1993,OUT017,2007,Medium,Tier 2,Supermarket Type1
1994,OUT046,1997,Small,Tier 1,Supermarket Type1
1995,OUT035,2004,Small,Tier 2,Supermarket Type1
1996,OUT035,2004,Small,Tier 2,Supermarket Type1
1997,OUT027,1985,Medium,Tier 3,Supermarket Type3
1998,OUT013,1987,High,Tier 3,Supermarket Type1
1999,OUT027,1985,Medium,Tier 3,Supermarket Type3
2000,OUT046,1997,Small,Tier 1,Supermarket Type1
2001,OUT035,2004,Small,Tier 2,Supermarket Type1
2002,OUT046,1997,Small,Tier 1,Supermarket Type1
2003,OUT017,2007,Medium,Tier 2,Supermarket Type1
2004,OUT045,2002,Medium,Tier 2,Supermarket Type1
2005,OUT045,2002,Medium,Tier 2,Supermarket Type1
2006,OUT045,2002,Medium,Tier 2,Supermarket Type1
2007,OUT017,2007,Medium,Tier 2,Supermarket Type1
2008,OUT018,2009,Medium,Tier 3,Supermarket Type2
2009,OUT045,2002,Medium,Tier 2,Supermarket Type1
2010,OUT027,1985,Medium,Tier 3,Supermarket Type3
2011,OUT019,1985,Small,Tier 1,Grocery Store
2012,OUT013,1987,High,Tier 3,Supermarket Type1
2013,OUT017,2007,Medium,Tier 2,Supermarket Type1
2014,OUT018,2009,Medium,Tier 3,Supermarket Type2
2015,OUT019,1985,Small,Tier 1,Grocery Store
2016,OUT019,1985,Small,Tier 1,Grocery Store
2017,OUT017,2007,Medium,Tier 2,Supermarket Type1
2018,OUT010,1998,Medium,Tier 3,Grocery Store
2019,OUT045,2002,Medium,Tier 2,Supermarket Type1
2020,OUT027,1985,Medium,Tier 3,Supermarket Type3
2021,OUT046,1997,Small,Tier 1,Supermarket Type1
2022,OUT019,1985,Small,Tier 1,Grocery Store
2023,OUT013,1987,High,Tier 3,Supermarket Type1
2024,OUT049,1999,Medium,Tier 1,Supermarket Type1
2025,OUT013,1987,High,Tier 3,Supermarket Type1
2026,OUT046,1997,Small,Tier 1,Supermarket Type1
2027,OUT013,1987,High,Tier 3,Supermarket Type1
2028,OUT049,1999,Medium,Tier 1,Supermarket Type1
2029,OUT046,1997,Small,Tier 1,Supermarket Type1
2030,OUT017,2007,Medium,Tier 2,Supermarket Type1
2031,OUT017,2007,Medium,Tier 2,Supermarket Type1
2032,OUT035,2004,Small,Tier 2,Supermarket Type1
2033,OUT013,1987,High,Tier 3,Supermarket Type1
2034,OUT049,1999,Medium,Tier 1,Supermarket Type1
2035,OUT035,2004,Small,Tier 2,Supermarket Type1
2036,OUT019,1985,Small,Tier 1,Grocery Store
2037,OUT035,2004,Small,Tier 2,Supermarket Type1
2038,OUT046,1997,Small,Tier 1,Supermarket Type1
2039,OUT017,2007,Medium,Tier 2,Supermarket Type1
2040,OUT010,1998,Medium,Tier 3,Grocery Store
2041,OUT049,1999,Medium,Tier 1,Supermarket Type1
2042,OUT049,1999,Medium,Tier 1,Supermarket Type1
2043,OUT018,2009,Medium,Tier 3,Supermarket Type2
2044,OUT013,1987,High,Tier 3,Supermarket Type1
2045,OUT017,2007,Medium,Tier 2,Supermarket Type1
2046,OUT017,2007,Medium,Tier 2,Supermarket Type1
2047,OUT045,2002,Medium,Tier 2,Supermarket Type1
2048,OUT045,2002,Medium,Tier 2,Supermarket Type1
2049,OUT035,2004,Small,Tier 2,Supermarket Type1
2050,OUT018,2009,Medium,Tier 3,Supermarket Type2
2051,OUT027,1985,Medium,Tier 3,Supermarket Type3
2052,OUT045,2002,Medium,Tier 2,Supermarket Type1
2053,OUT045,2002,Medium,Tier 2,Supermarket Type1
2054,OUT027,1985,Medium,Tier 3,Supermarket Type3
2055,OUT045,2002,Medium,Tier 2,Supermarket Type1
